Адрес;Этажей в доме;Подъездов;Срок сдачи;Застройщик;Микрорайон;Фото;Долгота;Широта
Хабаровская, 54а;9;2;3 кв 2016 г;Камская Долина;Железнодорожный;http://an-rakurs.ru/img/homes/habarovskaya-54a.jpg;56.08876537531617;58.050143804186845
Веры Засулич, 50а;16;2;1 кв 2016 г;Трест 14;Карпинский;http://an-rakurs.ru/img/homes/very-zasulich-50a.jpg;56.20159568265083;57.970762143281966
Сакко и Ванцетти, 99;4;4;4 кв 2015 г;Девелопмент-ЮГ;Садовый;http://an-rakurs.ru/img/homes/sakko-i-vancetti-99.jpg;56.33470449596646;58.00255006139511
Карпинского, 108 Н-секция;19;1;4 кв 2016 г;Классик;Новые Ераничи;http://an-rakurs.ru/img/homes/karpinskogo-108-n-sekciya.jpg;56.19926635175924;57.96903456717194
Уинская, 54 (секция Б);16;2;4 кв 2016 г;Классик;Ива;http://an-rakurs.ru/img/homes/uinskaya-54-b.jpg;56.32116336375475;58.00404810632797
Пушкарская, 142;24;5;4 кв 2015 г;Сириус;Садовый;http://an-rakurs.ru/img/homes/pushkarskaya-142.jpg;56.3060559891165;57.99640780200222
Чернышевского, 15 а;25;3;сдан;Камская Долина;Красные казармы;http://an-rakurs.ru/img/homes/chernyshevskogo-15a.jpg;56.267201174050605;57.99657096012398
Чернышевского, 15 в;25;3;сдан;Камская Долина;Красные Казармы;http://an-rakurs.ru/img/homes/chernyshevskogo-15v.jpg;56.2714744359256;57.99715139821607
Челюскинцев, 2б;10;4;4 кв 2015 г;ПЗСП;Мильчакова;http://an-rakurs.ru/img/homes/chelyuskincev-2b.jpg;56.22024390846486;57.99392971847656
Углеуральская, 25;16;2;4 кв 2016 г;Камская Долина;Парковый;http://an-rakurs.ru/img/homes/ugleuralskaya-25.jpg;56.177729889750545;57.996467795855494
Чернышевского, 15 б;25;3;сдан;Камская Долина;Красные Казармы;http://an-rakurs.ru/img/homes/chernyshevskogo-15-b.jpg;56.26926898956301;57.99691445315213
Красавинская, 6;9;5;4 кв 2016 г;СтройПанельКомплект;Кондратово;http://an-rakurs.ru/img/homes/krasavinskaya-6.jpg;56.11894408240919;57.98832764867529
Чернышевского, 15 г;19;2;сдан;Камская Долина;Красные казармы;http://an-rakurs.ru/img/homes/chernyshevskogo-15-g.jpg;56.27156211063268;57.99632039237958
Чернышевского, 17 д;19;1;3 кв 2015 г;Камская Долина;Красные казармы;http://an-rakurs.ru/img/homes/chernyshevskogo-17-d.jpg;56.268633138388424;57.99555060877612
Первый Пермский Микрорайон (1 очередь);3;4;3 кв 2015 г;ГК Строительные проекты;Лобаново;http://an-rakurs.ru/img/homes/ppm.jpg;56.2731737829746;57.87170424285149
