Тип школы;Школа;Адрес;Телефон;Директор;Сайт;Долгота;Широта
Вечерняя;МБОУ "Открытая (сменная) общеобразовательная школа № 4" имени Бобкова Феликса Макаровича;г.Пермь, ул.Каспийская, 15;206-06-37;Директор: Мухина Маргарита Николаевна;http://ososh4.ucoz.ru/;56.316769;58.023050
Общеобразовательная;МБОУ "Средняя общеобразовательная школа № 134";г.Пермь, ул.Л.Шатрова, 25;268-84-49;Директор: Ростовщикова Ольга Анатольевна;http://www.школа134.рф;56.269921;57.988621
Общеобразовательная;МБОУ "Средняя общеобразовательная школа № 47";г.Пермь, ул.Восстания, 10;267-54-98;Директор: Казакова Оксана Анатольевна;http://www.школа-47.рф;56.323192;58.032486
Коррекционная;МБС(К)ОУ для обучающихся, воспитанников с ограниченными возможностями здоровья «Специальная (коррекционная) общеобразовательная школа для детей с ограниченными возможностями здоровья № 155»;г.Пермь, ул.Сысольская, 11а;252-97-22;Директор: Строганова Светлана Анатольевна;http://www.school155.ucoz.ru;55.975148;58.017482
Коррекционная;МБС(К)ОУ для обучающихся, воспитанников с отклонениями в развитии "Специальная (коррекционная) начальная школа-детский сад № 152 IV вида";г. Пермь, ул. Закамская, 52а;282-87-06;Директор: Шатунова Елена Владимировна;http://school-cad152.ru/;55.961548;58.004537
Общеобразовательная;МБОУ "Основная общеобразовательная школа № 57";г.Пермь, ул.Харьковская, 21а;260-18-68;Директор: Савенко Зоя Рушановна;http://www.scool57.ucoz.ru;56.332202;58.046940
Общеобразовательная;МАОУ "Основная общеобразовательная школа № 73";г.Пермь, ул.Ямпольская, 16;252-55-80;Директор: Лифарь Татьяна Павловна;http://www.73.59.3535.ru;55.967719;58.014798
Вечерняя;МАОУ "Открытая (сменная) общеобразовательная школа № 1";г.Пермь, ул.Генкеля, 15;237-16-23;Директор: Тафинцев Владимир Сергеевич;http://1ososh.ru;56.180880;58.007222
Общеобразовательная;МАОУ Пермская кадетская школа № 1 "Пермский кадетский корпус им.генералиссимуса А.В.Суворова";г.Пермь, ул.Гашкова, 11;267-06-26;Директор: Валиев Марат Байрамшович;http://www.кадет.росшкола.рф;56.358405;58.066234
Коррекционная;МБС(К)ОУ для обучающихся, воспитанников с ограниченными возможностями здоровья "Специальная (коррекционная) общеобразовательная школа для детей с ограниченными возможностями здоровья № 154" г.Перми;г.Пермь, ул.Пихтовая, 30а;268-04-79;Директор: Жукова Марина Юрьевна;http://www.shkola154.ru;56.278509;57.976123
