Район;Адрес;Комнат;Площадь;Этаж;Этажей в доме;Цена;Срок сдачи;Фото;url;Долгота;Широта
Кировский;ул. Маршала Рыбалко, д.40;2;44;4;5;12000;месяц;;/perm/kvartiry/2-k_kvartira_44_m_45_et._584145369;55.954739;58.006006
Свердловский;Героев Хасана, 149;1;34;5;12;11000;месяц;;/perm/kvartiry/1-k_kvartira_34_m_512_et._584142068;56.272931;57.944625
Ленинский;Ленина 71;1;32;2;5;1400;сутки;http://71.img.avito.st/140x105/1711949771.jpg;/perm/kvartiry/1-k_kvartira_32_m_25_et._276157180;56.204641;58.005639
Мотовилихинский;Уинская 1а;1;42;5;10;13000;месяц;http://23.img.avito.st/140x105/1711914823.jpg;/perm/kvartiry/1-k_kvartira_42_m_510_et._584133536;56.300267;58.008467
Свердловский;улица Хасана 15;1;42;2;5;12000;месяц;http://96.img.avito.st/140x105/1711924696.jpg;/perm/kvartiry/1-k_kvartira_42_m_25_et._584128452;56.25792;57.988821
Индустриальный;Леонова, д. 46;1;32;1;2;12000;месяц;http://22.img.avito.st/140x105/1711196822.jpg;/perm/kvartiry/1-k_kvartira_32_m_12_et._583907400;56.172517;57.967809
Орджоникидзевский;ул.Цимлянская, д.19б;1;34;6;16;8000;месяц;http://78.img.avito.st/140x105/1711887978.jpg;/perm/kvartiry/1-k_kvartira_34_m_616_et._584117226;56.39856;58.133522
Ленинский;Комсомольский проспект, 32;2;45;3;5;19000;месяц;http://32.img.avito.st/140x105/1703909132.jpg;/perm/kvartiry/2-k_kvartira_45_m_35_et._581857442;56.240789;58.009792
Свердловский;Весенняя, 15;1;30;1;2;10000;месяц;;/perm/kvartiry/1-k_kvartira_30_m_12_et._584113668;56.232767;57.960514
Индустриальный;ул. Космонавтов шоссе, д. 141;3;90;16;16;20000;месяц;http://80.img.avito.st/140x105/1711875680.jpg;/perm/kvartiry/3-k_kvartira_90_m_1616_et._584112643;56.183935;57.984207
Дзержинский;Малкова, 16;1;35;5;5;15000;месяц;http://68.img.avito.st/140x105/1711875768.jpg;/perm/kvartiry/1-k_kvartira_35_m_55_et._584111932;56.192954;57.994379
Свердловский;Рабоче-Крестьянская, 25;1;40;9;17;12000;месяц;http://37.img.avito.st/140x105/1711853037.jpg;/perm/kvartiry/1-k_kvartira_40_m_917_et._584108914;56.270317;58.004695
Мотовилихинский;Уинская, 3а;1;45;9;17;23000;месяц;http://69.img.avito.st/140x105/1367785369.jpg;/perm/kvartiry/1-k_kvartira_45_m_917_et._496502724;56.30289;58.009101
Мотовилихинский;ул.Старцева 37/3;1;30;5;5;9500;месяц;http://44.img.avito.st/140x105/1711859344.jpg;/perm/kvartiry/1-k_kvartira_30_m_55_et._584106661;56.3013;57.994898
Мотовилихинский;ул. Тургенева, 39;1;32;2;9;13000;месяц;;/perm/kvartiry/1-k_kvartira_32_m_29_et._584099907;56.294401;58.01137
Мотовилихинский;ТРК Семья, Цирк, пл. Дружбы,Пермская Ярмарка;2;45;5;16;1500;сутки;http://99.img.avito.st/140x105/1600164799.jpg;/perm/kvartiry/2-k_kvartira_45_m_516_et._555780623;56.281285;58.014436
Свердловский;Ул.Газеты Звезда, 45;2;46;4;5;18000;месяц;http://91.img.avito.st/140x105/638220691.jpg;/perm/kvartiry/2-k_kvartira_46_m_45_et._160560915;56.251677;58.003183
Ленинский;Рабоче крестьянская 17;1;20;5;5;9990;месяц;http://66.img.avito.st/140x105/1324888766.jpg;/perm/kvartiry/1-k_kvartira_20_m_55_et._487880558;56.266391;58.007975
Ленинский;Ленина 80;1;35;4;5;1500;сутки;http://02.img.avito.st/140x105/1576438002.jpg;/perm/kvartiry/1-k_kvartira_35_m_45_et._395199202;56.2149;58.006831
Мотовилихинский;ул. Тургенева, 39;1;32;2;9;13000;месяц;;/perm/kvartiry/1-k_kvartira_32_m_29_et._584099907;56.294401;58.01137
Индустриальный;улица Леонова 42;1;34;3;5;11500;месяц;http://82.img.avito.st/140x105/1711836282.jpg;/perm/kvartiry/1-k_kvartira_34_m_35_et._584098671;56.171987;57.968334
Кировский;Торговая 8;1;18;3;5;8000;месяц;http://08.img.avito.st/140x105/1711828008.jpg;/perm/kvartiry/1-k_kvartira_18_m_35_et._584096210;55.939449;57.994336
Свердловский;ул. Газеты Звезда, д. 33.;1;30;3;5;10000;месяц;http://68.img.avito.st/140x105/1711813068.jpg;/perm/kvartiry/1-k_kvartira_30_m_35_et._584091397;56.248155;58.006884
Мотовилихинский;ул. Юрша, д. 86;1;41;8;24;14000;месяц;http://31.img.avito.st/140x105/1635003531.jpg;/perm/kvartiry/1-k_kvartira_41_m_824_et._563172843;56.304569;58.001485
Дзержинский;Вагонная,25;1;34;3;10;10000;месяц;http://04.img.avito.st/140x105/1711816004.jpg;/perm/kvartiry/1-k_kvartira_34_m_310_et._310435993;56.087483;58.051088
Ленинский;ул. Николая Островского, д. 6;4;170;6;7;130000;месяц;http://40.img.avito.st/140x105/1711784640.jpg;/perm/kvartiry/4-k_kvartira_170_m_67_et._584088704;56.254821;58.017377
Дзержинский;Ш. Космонавтов 88;3;46;5;5;19000;месяц;http://61.img.avito.st/140x105/1687042361.jpg;/perm/kvartiry/3-k_kvartira_46_m_55_et._189882392;56.206312;57.994293
Свердловский;Лодыгина 46 корпус 2;2;40;9;9;1500;сутки;http://87.img.avito.st/140x105/1711786987.jpg;/perm/kvartiry/2-k_kvartira_40_m_99_et._584079088;56.217065;57.965808
Индустриальный;ул. Беляева 40б;2;76;16;25;25000;месяц;;/perm/kvartiry/2-k_kvartira_76_m_1625_et._584068832;56.170343;57.970515
Свердловский;Сибирская 63;1;56;2;5;1300;сутки;http://70.img.avito.st/140x105/1711732170.jpg;/perm/kvartiry/1-k_kvartira_56_m_25_et._584065341;56.257417;58.001046
Мотовилихинский;БУЛЬВАРА ГАГАРИНА,48;1;37;6;9;10000;месяц;http://13.img.avito.st/140x105/1711732413.jpg;/perm/kvartiry/1-k_kvartira_37_m_69_et._584064072;56.28398;58.005238
Дзержинский;голева 17;1;30;1;5;9000;месяц;http://56.img.avito.st/140x105/1711725056.jpg;/perm/kvartiry/1-k_kvartira_30_m_15_et._584063101;56.214567;57.996468
Мотовилихинский;ул.Уральская 95;1;65;12;17;22000;месяц;http://08.img.avito.st/140x105/789948808.jpg;/perm/kvartiry/1-k_kvartira_65_m_1217_et._246756908;56.286585;58.022425
Ленинский;Луначарского 90,Wi-Fi;2;45;9;9;2300;сутки;http://51.img.avito.st/140x105/1516997151.jpg;/perm/kvartiry/2-k_kvartira_45_m_99_et._439399464;56.225527;58.004833
Ленинский;Ленина 55;2;42;7;9;1500;сутки;http://68.img.avito.st/140x105/1605985168.jpg;/perm/kvartiry/2-k_kvartira_42_m_79_et._489965479;56.212088;58.006864
Дзержинский;Рабочая 9Б;2;75;8;16;2000;сутки;http://74.img.avito.st/140x105/1573786474.jpg;/perm/kvartiry/2-k_kvartira_75_m_816_et._549304136;56.19802;57.995118
Ленинский;Екатерининская 122;1;42;5;17;1200;сутки;http://42.img.avito.st/140x105/1488642442.jpg;/perm/kvartiry/1-k_kvartira_42_m_517_et._495854707;56.232093;58.007594
Мотовилихинский;ТРК Семья, Цирк, пл. Дружбы,Пермская Ярмарка;2;45;5;16;1500;сутки;http://99.img.avito.st/140x105/1600164799.jpg;/perm/kvartiry/2-k_kvartira_45_m_516_et._555780623;56.281285;58.014436
Индустриальный;ул. Мира 70;1;35;3;5;10000;месяц;http://18.img.avito.st/140x105/1701476918.jpg;/perm/kvartiry/1-k_kvartira_35_m_35_et._581164242;56.188022;57.979173
Дзержинский;К. Пожарского, 15 Круглосуточное заселение;1;37;7;9;1200;сутки;http://03.img.avito.st/140x105/1674134903.jpg;/perm/kvartiry/1-k_kvartira_37_m_79_et._573750338;56.157982;57.996224
Индустриальный;ул. Одоевского 28;1;35;4;5;9500;месяц;http://75.img.avito.st/140x105/1617591875.jpg;/perm/kvartiry/1-k_kvartira_35_m_45_et._559441049;56.176631;57.976453
Индустриальный;Стахановская, 23;2;48;3;5;18000;месяц;;/perm/kvartiry/2-k_kvartira_48_m_35_et._584053665;56.214855;57.985419
Свердловский;тихая;1;28;1;5;900;сутки;http://15.img.avito.st/140x105/1711694015.jpg;/perm/kvartiry/1-k_kvartira_28_m_15_et._584052048;56.267963;58.009029
Свердловский;ул. Комсомольский проспект, д. 81;3;70;5;10;22000;месяц;http://71.img.avito.st/140x105/1711687171.jpg;/perm/kvartiry/3-k_kvartira_70_m_510_et._584051047;56.252162;57.989732
Мотовилихинский;Макаренко 14;2;46;4;5;14000;месяц;http://64.img.avito.st/140x105/1711665264.jpg;/perm/kvartiry/2-k_kvartira_46_m_45_et._584045417;56.299719;58.013001
Индустриальный;ул. Снайперов д. 16;2;45;3;5;14000;месяц;;/perm/kvartiry/2-k_kvartira_45_m_35_et._584044180;56.210875;57.980881
Ленинский;Борчанинова, 14;1;36;2;14;1300;сутки;http://84.img.avito.st/140x105/1711668984.jpg;/perm/kvartiry/1-k_kvartira_36_m_214_et._584043289;56.222553;58.005005
Дзержинский;Плеханова,12;2;50;5;14;2000;сутки;http://05.img.avito.st/140x105/781622705.jpg;/perm/kvartiry/2-k_kvartira_50_m_514_et._322323789;56.204551;58.009234
Свердловский;ул. П.Осипенко ( р-н Комсомольской пл,);1;33;3;5;1200;сутки;http://50.img.avito.st/140x105/1287943650.jpg;/perm/kvartiry/1-k_kvartira_33_m_35_et._479446402;56.256042;57.997913
Свердловский;фонтанная 3;2;56;1;9;1800;сутки;http://51.img.avito.st/140x105/1711655051.jpg;/perm/kvartiry/2-k_kvartira_56_m_19_et._584039311;56.276497;58.001872
Дзержинский;Кронштадтская, д. 31, д. 29;1;42;10;15;20000;месяц;;/perm/kvartiry/1-k_kvartira_42_m_1015_et._584036446;56.204821;57.998018
Кировский;Волгодонская 21 а;1;33;3;5;8000;месяц;;/perm/kvartiry/1-k_kvartira_33_m_35_et._584034410;56.004739;58.023564
Дзержинский;без комиссии, хабароская 56;2;70;4;16;15000;месяц;http://57.img.avito.st/140x105/1711638957.jpg;/perm/kvartiry/2-k_kvartira_70_m_416_et._584033229;56.086989;58.04935
Ленинский;Ленина 80;1;35;4;5;1500;сутки;http://02.img.avito.st/140x105/1576438002.jpg;/perm/kvartiry/1-k_kvartira_35_m_45_et._395199202;56.2149;58.006831
Ленинский;ул.Пермская д.124;1;50;13;16;1200;сутки;http://76.img.avito.st/140x105/872758476.jpg;/perm/kvartiry/1-k_kvartira_50_m_1316_et._338968579;56.234079;58.008433
Ленинский;Луначарского 15;1;42;6;12;2000;сутки;http://56.img.avito.st/140x105/1697185956.jpg;/perm/kvartiry/1-k_kvartira_42_m_612_et._580091958;56.256599;58.011733
Свердловский;Ул.Газеты Звезда, 45;2;46;4;5;18000;месяц;http://91.img.avito.st/140x105/638220691.jpg;/perm/kvartiry/2-k_kvartira_46_m_45_et._160560915;56.251677;58.003183
Ленинский;Екатерининская 122;1;42;5;17;1200;сутки;http://42.img.avito.st/140x105/1488642442.jpg;/perm/kvartiry/1-k_kvartira_42_m_517_et._495854707;56.232093;58.007594
Свердловский;ул. Куйбышева 101;1;37;5;10;10000;месяц;http://98.img.avito.st/140x105/1701596698.jpg;/perm/kvartiry/1-k_kvartira_37_m_510_et._581207376;56.24802;57.988458
Свердловский;улица Строителей, 2/3;1;37;2;5;9000;месяц;http://19.img.avito.st/140x105/1537210919.jpg;/perm/kvartiry/1-k_kvartira_37_m_25_et._540366465;56.136342;58.00004
Мотовилихинский;Добролюбова д.14;2;40;2;5;14000;месяц;http://92.img.avito.st/140x105/1711580492.jpg;/perm/kvartiry/2-k_kvartira_40_m_25_et._584015945;56.299233;58.015289
Мотовилихинский;Юрша 21;1;39;6;10;13000;месяц;http://52.img.avito.st/140x105/1381317052.jpg;/perm/kvartiry/1-k_kvartira_39_m_610_et._476139051;56.302683;58.003183
Мотовилихинский;Садовый;1;32;3;5;11000;месяц;;/perm/kvartiry/1-k_kvartira_32_m_35_et._577977432;56.305773;58.005281
Свердловский;Чернышевского 15а;2;102;13;25;2700;сутки;http://99.img.avito.st/140x105/1471316899.jpg;/perm/kvartiry/2-k_kvartira_102_m_1325_et._523943879;56.267191;57.996492
Мотовилихинский;Красновишерская, 35;3;120;6;16;60000;месяц;http://73.img.avito.st/140x105/1711560773.jpg;/perm/kvartiry/3-k_kvartira_120_m_616_et._584007766;56.268996;58.022859
Ленинский;ул.Ленина, 74;2;60;4;5;22000;месяц;http://95.img.avito.st/140x105/1665329595.jpg;/perm/kvartiry/2-k_kvartira_60_m_45_et._571356127;56.219104;58.007465
Ленинский;Екатерининская;2;50;2;5;30000;месяц;http://77.img.avito.st/140x105/1466422777.jpg;/perm/kvartiry/2-k_kvartira_50_m_25_et._518701469;56.230467;58.007070
Свердловский;ул. Революции 30;1;35;2;5;10000;месяц;http://73.img.avito.st/140x105/1616488073.jpg;/perm/kvartiry/1-k_kvartira_35_m_25_et._559325375;56.253024;58.003774
Индустриальный;ул. Мира 70;1;35;3;5;10000;месяц;http://18.img.avito.st/140x105/1701476918.jpg;/perm/kvartiry/1-k_kvartira_35_m_35_et._581164242;56.188022;57.979173
Мотовилихинский;Лебедева, 34;3;90;4;18;2350;сутки;http://44.img.avito.st/140x105/517763744.jpg;/perm/kvartiry/3-k_kvartira_90_m_418_et._225130844;56.287259;58.021663
Мотовилихинский;юрша-21;1;17;8;9;13500;месяц;;/perm/kvartiry/1-k_kvartira_17_m_89_et._583986511;56.234195;58.010259
Индустриальный;Братьев Игнатовых 17а;1;37;3;5;12000;месяц;http://97.img.avito.st/140x105/1711503497.jpg;/perm/kvartiry/1-k_kvartira_37_m_35_et._583989214;56.185974;57.979812
Дзержинский;ул.Толмачева 32;1;38;3;5;16000;месяц;;/perm/kvartiry/1-k_kvartira_38_m_35_et._583988246;56.202404;58.005801
Свердловский;ул. Лукоянова 34;1;32;2;2;12000;месяц;;/perm/kvartiry/1-k_kvartira_32_m_22_et._583987026;56.227943;57.958628
Ленинский;ул. Борчанинова, д. 8;1;39;3;5;13000;месяц;http://27.img.avito.st/140x105/1711457527.jpg;/perm/kvartiry/1-k_kvartira_39_m_35_et._583986581;56.221565;58.006259
Дзержинский;Красноводская 15;1;39;6;16;10000;месяц;http://26.img.avito.st/140x105/1711491526.jpg;/perm/kvartiry/1-k_kvartira_39_m_616_et._583983406;56.084779;58.047749
Индустриальный;Снайперов 11;1;36;2;5;11500;месяц;http://71.img.avito.st/140x105/1711492771.jpg;/perm/kvartiry/1-k_kvartira_36_m_25_et._583983339;56.209743;57.983654
Дзержинский;маяковского.39;4;61;2;5;20000;месяц;;/perm/kvartiry/4-k_kvartira_61_m_25_et._583983029;56.110506;58.002701
Свердловский;Красновишерская 35;0;50;7;16;1800;сутки;http://54.img.avito.st/140x105/1511079354.jpg;/perm/kvartiry/studiya_50_m_716_et._533483066;56.268996;58.022859
Ленинский;Луначарского 15;1;42;6;12;2000;сутки;http://56.img.avito.st/140x105/1697185956.jpg;/perm/kvartiry/1-k_kvartira_42_m_612_et._580091958;56.256599;58.011733
Свердловский;ул. Куйбышева 101;1;37;5;10;10000;месяц;http://98.img.avito.st/140x105/1701596698.jpg;/perm/kvartiry/1-k_kvartira_37_m_510_et._581207376;56.24802;57.988458
Мотовилихинский;Дружба 20;1;32;3;5;10500;месяц;http://03.img.avito.st/140x105/1711482503.jpg;/perm/kvartiry/1-k_kvartira_32_m_35_et._583979213;56.234195;58.010259
Мотовилихинский;Бульвар Гагарина 23;1;32;2;5;1000;сутки;http://77.img.avito.st/140x105/1470685777.jpg;/perm/kvartiry/1-k_kvartira_32_m_25_et._523771640;56.271772;58.020223
Свердловский;ул.Никулина, д. 8,;0;32;9;16;1000;сутки;http://44.img.avito.st/140x105/1540460544.jpg;/perm/kvartiry/studiya_32_m_916_et._537983693;56.241463;57.963885
Дзержинский;ул. Малкова, д. 24;1;31;1;5;12000;месяц;;/perm/kvartiry/1-k_kvartira_31_m_15_et._583970675;56.195927;57.997059
Индустриальный;Танкистов;1;34;4;5;1400;сутки;http://76.img.avito.st/140x105/1104560276.jpg;/perm/kvartiry/1-k_kvartira_34_m_45_et._424988071;56.206258;57.980375
Мотовилихинский;тургенева 39 дружба агат;1;35;1;9;1100;сутки;http://64.img.avito.st/140x105/1547896564.jpg;/perm/kvartiry/1-k_kvartira_35_m_19_et._543179811;56.294401;58.01137
Орджоникидзевский;ул молдавская 4 кв 164;2;51;5;9;13000;месяц;;/perm/kvartiry/2-k_kvartira_51_m_59_et._583961160;56.402252;58.087626
Свердловский;ул. 25 Октября, д. 38;1;38;8;10;16000;месяц;http://95.img.avito.st/140x105/1396161795.jpg;/perm/kvartiry/1-k_kvartira_38_m_810_et._504140866;56.257534;58.007747
Свердловский;Куйбышева 103;3;44;4;5;13000;месяц;;/perm/kvartiry/3-k_kvartira_44_m_45_et._583959117;56.248317;57.98749
Индустриальный;Космонавтов шоссе 117;1;30;2;5;1300;сутки;http://13.img.avito.st/140x105/1708924913.jpg;/perm/kvartiry/1-k_kvartira_30_m_25_et._509225961;56.193753;57.989694
Мотовилихинский;Крупской, 42;1;38;11;16;11000;месяц;http://07.img.avito.st/140x105/1711413507.jpg;/perm/kvartiry/1-k_kvartira_38_m_1116_et._583957989;56.281582;58.013487
Дзержинский;ул. Парковый проспект, д. 40 а;1;38;7;10;14000;месяц;http://87.img.avito.st/140x105/1663297287.jpg;/perm/kvartiry/1-k_kvartira_38_m_710_et._564356276;56.16083;57.997116
Ленинский;Комсомольский проспект,36;2;45;3;5;2200;сутки;http://22.img.avito.st/140x105/1711408722.jpg;/perm/kvartiry/2-k_kvartira_45_m_35_et._583954146;56.242819;58.007742
Ленинский;Ленина, 71;0;32;3;5;1800;сутки;http://00.img.avito.st/140x105/708549300.jpg;/perm/kvartiry/studiya_32_m_35_et._295691033;56.204641;58.005639
Ленинский;Газеты звезда 14;1;43;2;5;1400;сутки;http://45.img.avito.st/140x105/1705908645.jpg;/perm/kvartiry/1-k_kvartira_43_m_25_et._582454558;56.241795;58.014398
Свердловский;Красновишерская 35;0;50;7;16;1800;сутки;http://54.img.avito.st/140x105/1511079354.jpg;/perm/kvartiry/studiya_50_m_716_et._533483066;56.268996;58.022859
Свердловский;улица краснова 28;2;54;4;9;12500;месяц;http://06.img.avito.st/140x105/1711396206.jpg;/perm/kvartiry/2-k_kvartira_54_m_49_et._583949696;56.243709;58.004948
Дзержинский;плеханова 73;1;38;4;5;10500;месяц;http://16.img.avito.st/140x105/1711377816.jpg;/perm/kvartiry/1-k_kvartira_38_m_45_et._583949461;56.20792;57.995328
Свердловский;Пионерская,8;2;45;4;5;16000;месяц;http://40.img.avito.st/140x105/1445287340.jpg;/perm/kvartiry/2-k_kvartira_45_m_45_et._517316191;56.248074;57.997293
Свердловский;Глеба успенского 16;1;38;3;5;1500;сутки;http://84.img.avito.st/140x105/1711379184.jpg;/perm/kvartiry/1-k_kvartira_38_m_35_et._583945827;56.240834;57.998118
Ленинский;ул. Пушкина,29;1;31;2;5;1200;сутки;http://74.img.avito.st/140x105/1622719074.jpg;/perm/kvartiry/1-k_kvartira_31_m_25_et._560368650;56.244445;58.006926
Индустриальный;Беляева,8;1;63;13;16;14000;месяц;http://90.img.avito.st/140x105/1711364690.jpg;/perm/kvartiry/1-k_kvartira_63_m_1316_et._583944181;56.186701;57.975589
Ленинский;ул.Крисанова 16;2;46;3;5;1200;сутки;http://46.img.avito.st/140x105/1286141046.jpg;/perm/kvartiry/2-k_kvartira_46_m_35_et._478998464;56.213885;58.005892
Индустриальный;Пермь, ул. Советской Армии, 49;3;68;4;10;24000;месяц;http://13.img.avito.st/140x105/1641780013.jpg;/perm/kvartiry/3-k_kvartira_68_m_410_et._141477822;56.20686;57.975355
Свердловский;ул. Гусарова, д. 13;2;50;4;9;13000;месяц;http://63.img.avito.st/140x105/1639598563.jpg;/perm/kvartiry/2-k_kvartira_50_m_49_et._564466602;56.212833;57.964529
Ленинский;ул. Осинская, д. 14;4;130;8;10;50000;месяц;http://52.img.avito.st/140x105/1382248152.jpg;/perm/kvartiry/4-k_kvartira_130_m_810_et._500546417;56.229659;58.01189
Мотовилихинский;ул. Гашкова д. 34;1;35;6;9;11000;месяц;;/perm/kvartiry/1-k_kvartira_35_m_69_et._583933237;56.344122;58.059517
Свердловский;ул. А. Гатауллина, 27;1;32;5;5;13000;месяц;;/perm/kvartiry/1-k_kvartira_32_m_55_et._583931583;56.233791;57.961602
Свердловский;революции 3а;1;29;2;5;1100;сутки;http://41.img.avito.st/140x105/1711325841.jpg;/perm/kvartiry/1-k_kvartira_29_m_25_et._583931181;56.276488;58.006864
Ленинский;ул. Екатерининская 120;1;25;6;9;10000;месяц;;/perm/kvartiry/1-k_kvartira_25_m_69_et._530621737;56.232516;58.007799
Мотовилихинский;Лебедева, 34;0;40;7;12;19000;месяц;http://75.img.avito.st/140x105/750683075.jpg;/perm/kvartiry/studiya_40_m_712_et._311191387;56.287259;58.021663
Мотовилихинский;Дружбы 30;1;32;2;5;11000;месяц;http://91.img.avito.st/140x105/1711284891.jpg;/perm/kvartiry/1-k_kvartira_32_m_25_et._583926119;56.282219;58.014946
Дзержинский;Кронштадтская,д.29;2;75;10;15;20000;месяц;http://38.img.avito.st/140x105/1639189538.jpg;/perm/kvartiry/2-k_kvartira_75_m_1015_et._564356321;56.205054;57.997388
Свердловский;Революции 37;1;40;3;5;1500;сутки;http://48.img.avito.st/140x105/1711282648.jpg;/perm/kvartiry/1-k_kvartira_40_m_35_et._583923061;56.251641;58.004294
Кировский;улица Кировоградская 4;2;48;4;5;13000;месяц;http://18.img.avito.st/140x105/1711264018.jpg;/perm/kvartiry/2-k_kvartira_48_m_45_et._583919791;55.945243;57.993224
Мотовилихинский;Ким 84;1;31;3;5;14000;месяц;;/perm/kvartiry/1-k_kvartira_31_m_35_et._583915767;56.285381;58.017964
Индустриальный;ул. Декабристов 43;1;34;1;10;14000;месяц;http://76.img.avito.st/140x105/1711159376.jpg;/perm/kvartiry/1-k_kvartira_34_m_110_et._542108618;56.234195;58.010259
Мотовилихинский;ул.Гашкова, д.34;1;37;7;10;12500;месяц;;/perm/kvartiry/1-k_kvartira_37_m_710_et._564942824;56.344122;58.059517
Свердловский;Чернышевского 15 г;1;40;4;19;15000;месяц;http://71.img.avito.st/140x105/1711193771.jpg;/perm/kvartiry/1-k_kvartira_40_m_419_et._583907550;56.271583;57.996287
Мотовилихинский;ул. Крупской, дом 30;1;37;4;5;12000;месяц;;/perm/kvartiry/1-k_kvartira_37_m_45_et._577684872;56.277764;58.01803
Мотовилихинский;ул. крупской,75;2;45;3;5;18000;месяц;http://61.img.avito.st/140x105/1710564461.jpg;/perm/kvartiry/2-k_kvartira_45_m_35_et._583754982;56.29246;57.998967
Дзержинский;ул. Голева, д. 3;1;32;1;5;12000;месяц;http://78.img.avito.st/140x105/1708018078.jpg;/perm/kvartiry/1-k_kvartira_32_m_15_et._583045662;56.212923;57.999868
Кировский;Чебоксарская, д.1;1;43;4;5;7000;месяц;http://61.img.avito.st/140x105/1711150761.jpg;/perm/kvartiry/1-k_kvartira_43_m_45_et._583897409;55.918402;58.004957
Свердловский;Пермь, Свердловский р. ул.Камчатовская, д.20;1;43;16;16;17000;месяц;;/perm/kvartiry/1-k_kvartira_43_m_1616_et._583901387;56.235444;57.999778
Свердловский;ул. Революции 38;1;30;2;5;15000;месяц;;/perm/kvartiry/1-k_kvartira_30_m_25_et._583900167;56.250913;58.003245
Мотовилихинский;ул. Тургенева 18/1 (час, сутки. неделю);1;31;3;5;1000;сутки;http://84.img.avito.st/140x105/1711160084.jpg;/perm/kvartiry/1-k_kvartira_31_m_35_et._536542101;56.292559;58.015423
Свердловский;Механошина, 4;1;33;4;5;900;сутки;http://29.img.avito.st/140x105/826334829.jpg;/perm/kvartiry/1-k_kvartira_33_m_45_et._338038679;56.237995;58.001509
Дзержинский;Парковый, 45г;0;33;13;16;13000;месяц;;/perm/kvartiry/studiya_33_m_1316_et._583896674;56.177449;57.998519
Свердловский;Революции, 8;3;66;3;10;36000;месяц;http://76.img.avito.st/140x105/1414330176.jpg;/perm/kvartiry/3-k_kvartira_66_m_310_et._509152414;56.271691;58.005219
Свердловский;ул. 5-я Соболинская д. 2б;1;60;2;2;12000;месяц;;/perm/kvartiry/1-k_kvartira_60_m_22_et._583891050;56.304938;57.946770
Мотовилихинский;ул. Аркадия Гайдара, д. 5;2;55;3;14;25000;месяц;http://98.img.avito.st/140x105/1639936298.jpg;/perm/kvartiry/2-k_kvartira_55_m_314_et._564563798;56.295523;58.002983
Свердловский;Горького 77;2;43;8;9;18000;месяц;http://02.img.avito.st/140x105/1711112102.jpg;/perm/kvartiry/2-k_kvartira_43_m_89_et._583888803;56.26375;58.002964
Дзержинский;ул. Плеханова, д. 70.;1;27;9;9;11000;месяц;;/perm/kvartiry/1-k_kvartira_27_m_99_et._583888314;56.209231;57.995934
Ленинский;ул. Ленина д. 75;1;33;4;5;15000;месяц;;/perm/kvartiry/1-k_kvartira_33_m_45_et._583887705;56.203527;58.00542
Кировский;Калинина 52;1;42;5;10;11000;месяц;http://30.img.avito.st/140x105/1450489730.jpg;/perm/kvartiry/1-k_kvartira_42_m_510_et._518538787;56.020145;58.032366
Ленинский;Петропавловская, 77;2;50;7;13;20000;месяц;http://70.img.avito.st/140x105/1699518170.jpg;/perm/kvartiry/2-k_kvartira_50_m_713_et._580660976;56.224116;58.011347
Индустриальный;ул. Декабристов 43;1;34;1;10;14000;месяц;http://76.img.avito.st/140x105/1711159376.jpg;/perm/kvartiry/1-k_kvartira_34_m_110_et._542108618;56.234195;58.010259
Ленинский;Ленина 49;2;42;2;5;1600;сутки;http://34.img.avito.st/140x105/1603579634.jpg;/perm/kvartiry/2-k_kvartira_42_m_25_et._325757858;56.236082;58.011022
Свердловский;Ул.Краснофлотская 28;3;70;3;10;20000;месяц;http://94.img.avito.st/140x105/1704391294.jpg;/perm/kvartiry/3-k_kvartira_70_m_310_et._582005416;56.240088;57.997136
Ленинский;Комсомольский проспект д.32;2;54;3;5;20000;месяц;http://53.img.avito.st/140x105/1711093053.jpg;/perm/kvartiry/2-k_kvartira_54_m_35_et._583883110;56.240789;58.009792
Свердловский;ул.Чкалова 10А;1;43;2;10;12000;месяц;http://81.img.avito.st/140x105/1708684381.jpg;/perm/kvartiry/1-k_kvartira_43_m_210_et._447866056;56.265583;57.986917
Индустриальный;улица Мира 7;2;52;4;5;13500;месяц;http://76.img.avito.st/140x105/1711094976.jpg;/perm/kvartiry/2-k_kvartira_52_m_45_et._583882209;56.209878;57.98488
Дзержинский;ул. Костычева, д.17;2;56;9;10;12000;месяц;;/perm/kvartiry/2-k_kvartira_56_m_910_et._583879285;56.124475;58.038846
Кировский;на ул. Маршала Рыбалко,76 и на Водниках;1;31;4;5;1200;сутки;http://03.img.avito.st/140x105/1645668603.jpg;/perm/kvartiry/1-k_kvartira_31_m_45_et._564736709;55.95941;58.008104
Свердловский;чернышевского 15;1;38;3;5;10000;месяц;http://68.img.avito.st/140x105/1711073468.jpg;/perm/kvartiry/1-k_kvartira_38_m_35_et._583874723;56.267981;57.99756
Кировский;Волгодонская, 19;2;46;3;5;13000;месяц;;/perm/kvartiry/2-k_kvartira_46_m_35_et._517742404;56.00526;58.024475
Свердловский;лодыгина 54/1;1;34;3;9;12000;месяц;http://19.img.avito.st/140x105/1711083719.jpg;/perm/kvartiry/1-k_kvartira_34_m_39_et._583873104;56.21463;57.968954
Орджоникидзевский;Делегатская, 35б;1;46;5;10;10000;месяц;http://37.img.avito.st/140x105/1382410237.jpg;/perm/kvartiry/1-k_kvartira_46_m_510_et._500585029;56.395425;58.136026
