Детский сад;Адрес;Телефон;Заведующий;Сайт;Долгота;Широта
МАДОУ "Детский сад № 287";г.Пермь, ул. 1-я Красноармейская, 54;244-29-85;Заведующий: Постникова Анастасия Анатольевна;;56.253878;57.998643
МАДОУ "Детский сад № 291";г.Пермь, ул. Льва Шатрова, 16;281-31-61;Заведующий: Бутусова Ольга Геннадьевна;;56.264738;57.987289
МДОУ "Детский сад № 295";г.Пермь, ул. Лядовская, 101;262-93-03;Заведующий: Минькова Татьяна Александровна;http://www.sad295.jimdo.com;56.352764;58.035873
МАДОУ "Детский сад № 296";г.Пермь, ул. Швецова, 31;244-03-92;Заведующий: Хохлова Ирина Юрьевна;;56.253617;58.003359
МДОУ "Детский сад № 305";г.Пермь, ул. Нефтяников, 36;226-62-55;Заведующий: Константинова Любовь Владимировна;http://www.w.w.w.305.detskiy-sad.perm.ru;56.172571;57.972496
МАДОУ "Детский сад № 312";г.Пермь, ул. Льва Шатрова, 21;281-31-07;Заведующий: Маркина Мария Андреевна;;56.268340;57.987800
МДОУ "Детский сад № 317";г.Пермь, ул. Крупской, 90 Б.Гагарина, 105 А, Б.Гагарина, 79а;282-33-47;Заведующий: Ромашова Татьяна Станиславовна;http://www.dsperm.ru;56.289136;58.000059
МАДОУ "Детский сад №318";г.Пермь, ул. Сысольская, 9а;252-43-21;Заведующий: Клименко Любовь Ивановна;http://detsad318.jimdo.com/;55.976244;58.016848
МАДОУ "Детский сад № 319";г.Пермь, ул. Пономарева, 91;261-22-53;Заведующий: Погадаева Татьяна Викторовна;http://www.ds319.ru;56.303186;58.000612
МАДОУ "Детский сад № 321";г.Пермь, ул. Лихвинская, 114;282-43-73;Заведующий: Романенко Юлия Владимировна;http://www.ds321.ru;56.306393;57.974883
МАДОУ "Детский сад № 347";г.Пермь, ул. Космонавта Беляева, 43/2;227-58-66;Заведующий: Скворцова Наталья Борисовна;http://www.detsad347.ru;56.169238;57.967503
МБДОУ "Детский сад № 352";г.Пермь, ул. Лодыгина, 48;242-78-18;Заведующий: Шлыкова Наталия Николаевна;http://ds352.perm.ru/;56.215484;57.966954
МАДОУ "Детский сад № 358";г.Пермь, ул. Оршанская, 17;263-82-56, 263-81-72;Заведующий: Афанасьева Ольга Геннадьевна;;56.437906;58.147660
МДОУ "Детский сад № 36";г.Пермь, ул. Крисанова, 22а;236-66-51;Заведующий: Погудина Анна Михайловна;http://dedsad-36.hol.es;56.214936;58.005191
МАДОУ "Детский сад № 360";г.Пермь, ул. Маяковского, 35;222-95-44;Заведующий: Файзуллина Анжела Владимировна;;56.112141;58.002906
МАДОУ "Детский сад № 361";г.Пермь, ул. Гусарова, 22а;269-51-41;Заведующий: Журихина Любовь Владимировна;;56.215915;57.963345
МАДОУ "Детский сад № 363";г. Пермь, ул. Луначарского 11а;210-80-07;Заведующий: Иванова Зинаида Фёдоровна;http://dom59.com/sad363/;56.257534;58.011366
МДОУ "Детский сад № 364";г.Пермь, Серебрянский проезд, 12;269-22-01;Заведующий: Звездина Екатерина Владимировна;;56.233863;57.977393
МАДОУ "Детский сад № 368";г.Пермь, ул. Репина, 68;274-22-20;Заведующий: Бусалаева Светлана Викторовна;http://nsportal.ru/node/159660;56.285983;58.114392
МАДОУ "Детский сад № 369";г.Пермь, ул. Холмогорская, 4а;241-98-63;Заведующий: Мартынова Ирина Валентиновна;http://www.detsad369.perm.ru;56.289100;57.984117
МАДОУ "Детский сад № 370";г.Пермь, ул. Парковый проспект, 26;222-64-26;Заведующий: Шапко Ольга Александровна;http://www.madou370.3dn.ru;56.150203;57.996873
МБДОУ "Детский сад № 373";г.Пермь, ул. Инженерная, 4;260-32-83;Заведующий: Андрусяк Яна Владимировна;http://detsad373-perm.ru/;56.303635;58.024470
МАДОУ "Детский сад № 377";г. Пермь, ул. Коломенская, 5а;249-81-33 268-57-10;Заведующий: Лодочникова Татьяна Викторовна;http://ds377.ru/;56.271646;57.975135
МАДОУ "Детский сад № 39";г.Пермь, ул. Тбилисская, 7а;269-53-10;Заведующий: Поливина Анастасия Владимировна;http://dsad39.perm.ru/;56.216885;57.962309
МАДОУ "Детский сад № 390";г.Пермь, ул. Вильямса, 47;273-59-51;Заведующий: Савостина Ольга Александровна;;56.300626;58.103028
МАДОУ "Детский сад № 393";г.Пермь, ул. Гашкова, 22а;267-09-67;Заведующий: Кочнева Марина Германовна;;56.348722;58.063064
МАДОУ "Детский сад № 395";г.Пермь, ул. Полтавская, 33;283-15-70;Заведующий: Самойлова Ирина Владиславовна;http://www.madou-395.narod.ru;55.927618;58.007208
МАДОУ "Детский сад № 396";г.Пермь, ул. Подводников, 6;280-64-74;Заведующий: Жуланова Вера Владимировна;http://www.ds396.ru;56.212034;57.978037
МДОУ "Детский сад № 4";г.Пермь, ул. Кировоградская, 45а;252-71-85;Заведующий: Дербенева Ольга Александровна;;55.956634;58.001409
МАДОУ "Детский сад № 404";г.Пермь, ул. Профессора Дедюкина, 6а;239-15-98;Заведующий: Mальгинова Любовь Алексеевна;http://www.detsad404.ucoz.ru;56.216148;58.050393
МАДОУ "Детский сад № 407";г.Пермь, ул. Докучаева, 28а;230-53-02;Заведующий: Фролова Надежда Николаевна;;56.134617;58.037446
МАДОУ "Детский сад № 409";г.Пермь, ул. Волгодонская, 22;253-30-21;Заведующий: Полякова Юлия Николаевна;;56.004550;58.025599
МАДОУ "Детский сад № 412";г.Пермь, ул. Глазовская, 1а;251-92-95;Заведующий: Поспелова Елена Владимировна;;55.831229;58.026515
МАДОУ "Детский сад № 413";г.Пермь, ул. Постаногова, 4;267-59-98;Заведующий: Антипова Любовь Афанасьевна;http://www.sad413.perm.ru;56.321889;58.032176
МАДОУ "Детский сад № 418";г.Пермь, ул. Нейвинская, 10а;268-05-57;Заведующий: Заридзе Наталья Викторовна;;56.267882;57.969260
МАДОУ "Детский сад № 419";г.Пермь, ул. Старцева, 23;266-30-76;Заведующий: Алтухова Наджеда Олеговна;;56.310597;58.000498
МАДОУ "Детский сад № 421";г.Пермь, ул. Революции, 3а;216-13-18;Заведующий: Бурцева Светлана Юрьевна;http://www.garmonia421.ru/;56.276488;58.006864
МАДОУ "Детский сад № 422";г.Пермь, ул. Народовольческая, 28;216-38-82;Заведующий: Мелентьева Ольга Сергеевна;http://www.ds422.ru;56.271655;58.007885
МАДОУ "Детский сад № 423";г.Пермь, ул. Мира, 92а;294-13-27;Заведующий: Леготкина Елена Николаевна;http://www.ds423.perm.ru;56.174179;57.976553
МАДОУ "Детский сад № 424";г.Пермь, проспект Декабристов, 33а;280-52-78;Заведующий: Еремина Ирина Борисовна;http://www.madou424.ru;56.201236;57.973508
МАДОУ "ЦРР-детский сад № 47";г.Пермь, ул. Подводников, 12;220-46-33;Заведующий: Верхоланцева Марина Викторовна;http://www.madou47.ru;56.208989;57.977178
МДОУ "Детский сад № 50";г.Пермь, ул. Коминтерна, 4;281-20-13;Заведующий: Повышева Галина Михайловна;http://www.ds50.permedu.ru;56.255153;57.987762
МАДОУ "Детский сад № 55";г.Пермь, ул. Василия Каменского, 8;222-60-58;Заведующий: Минеева Надежда Викторовна;http://www.ds55.permedu.ru;56.171026;57.999072
МАДОУ "Детский сад № 6";г.Пермь, ул. Сивкова, 28;2800-334, 223-36-51;Заведующий: Линк Елена Александровна;http://www.htt://ds6.permedu.ru;56.215097;57.984479
МАДОУ "Детский сад № 63";г.Пермь, ул. Добролюбова, 10;262-57-36;Заведующий: Маринина Наталья Владимировна;;56.297967;58.015704
МАДОУ "Детский сад № 64";г.Пермь, ул. Социалистическая, 10а;263-68-36;Заведующий: Макарова Юлия Александровна;;56.384088;58.135318
МАДОУ "Детский сад № 70 компенсирующего вида";г.Пермь, ул. Соловьева, 10а;240-88-12;Заведующий: Каданцева Валентина Константиновна;http://www.ds70.perm.ru;56.250913;57.989379
МАДОУ "Детский сад № 71";г.Пермь, ул. Закамская, 58а;252-57-00//252-91-76;Заведующий: Леуш Ольга Анатольевна;http://www.permdou71.ru;55.963569;58.006102
МДОУ "Детский сад № 74";г.Пермь, ул. Чехова, 18;260-31-36;Заведующий: и.о. заведующего Самосушева Елена Николаевна;http://www.нет;56.304372;58.022950
МДОУ "Детский сад № 77";г.Пермь, ул. Инженерная, 3;260-49-91;Заведующий: Плотникова Галина Валерьевна;http://www.ds77.perm.ru;56.304309;58.024246
МДОУ "Детский сад № 80";г.Пермь, ул. Моторостроителей, 4; ул. Моторостроителей, 14;281-60-74;Заведующий: Зверева Татьяна Андреевна;http://www.sad80.perm.ru;56.232345;57.982112
МАДОУ "Детский сад № 85";г.Пермь, ул. Камышинская, 9;283-49-16;Заведующий: Лбова Светлана Дмитриевна;http://sad85.perm.ru;56.035371;58.035421
МБДОУ "Детский сад № 87";г.Пермь, ул. Седова, 17;281-13-52;Заведующий: Терентьева Елена Юрьевна;http://www.detsad87.perm.ru;56.242667;57.995771
МАДОУ "Детский сад № 90";г.Пермь, ул. Красноармейская, 41б;244-58-54;Заведующий: Лекомцева Любовь Геннадьевна;http://www.ds90.perm.ru;56.252800;58.000040
МАДОУ "Детский сад № 90 "Оляпка";г.Пермь, ул. Василия Каменского, 14;222-60-43;Заведующий: Рачева Евгения Александровна;http://www.olyapka90.narod.ru;56.175104;57.998767
МДОУ "Детский сад № 92";г.Пермь, ул. Чернышевского, 7а;216-69-41;Заведующий: Саввина Елена Федоровна;http://www.sad92.perm.ru;56.273075;57.997379
МАДОУ "Детский сад № 94";г.Пермь, ул. Маршала Рыбалко, 109б;284-11-68;Заведующий: Чегодаева Светлана Павловна;http://www.htt://detsad-94.ru;55.974268;58.016586
МБДОУ "Детский сад № 96";г.Пермь, ул. Клары Цеткин, 12а;281-43-55;Заведующий: Баландина Вера Михайловна;;56.240160;57.986746
МАДОУ "Детский сад № 97";г.Пермь, ул. Адмирала Ушакова, 28а;250-49-27, 283-53-54;Заведующий: Синюкова Светлана Александровна;http://www.ds97-perm.ru;56.023630;58.035311
МАДОУ "Детский сад № 384";г.Пермь, ул. Подлесная, 21;224-86-24;Заведующий: Боровых Тамара Николаевна;http://www.sad384.my1.ru;56.151308;57.994884
МАДОУ "Центр развития ребенка - детский сад № 67";г.Пермь, ул. Макаренко, 38, 42;261-86-91;Заведующий: Петерс Ирина Николаевна;http://www.ds67.perm.ru;56.290178;58.009263
МАДОУ "Центр развития ребенка - детский сад № 226";г.Пермь, ул. Танкистов, 66;280-49-26;Заведующий: Козлова Ксения Андреевна;http://ou195perm.a2b2.ru/;56.202745;57.979707
МАДОУ "Центр развития ребенка - детский сад № 152";Пермь,614065 ул. Мира , 105;226-01-27;Заведующий: Баландина Ангелина Анатольевна;http://www.ds152.permedu.ru;56.158476;57.969403
МАДОУ "Центр развития ребенка - детский сад № 403";г.Пермь, ул. Архитектора Свиязева, 26;229-67-75;Заведующий: Блинова Нина Леонидовна;http://www.permsad403.ru;56.186154;57.963665
Муниципальное бюджетное дошкольное образовательное учреждение "Детский сад № 199";г.Пермь,ул. Нефтяников, 57а;226-22-93;Заведующий: Фистина Ирина Витальевна;;56.161324;57.968272
МАДОУ "Центр развития ребенка - детский сад № 266";г.Пермь, ул. Чайковского, 8 (1 корпус); Баумана, 5б (2 корпус);227-80-91;Заведующий: Троцюк Ольга Григорьевна;http://www.mdou266.ru;56.199134;57.986698
Муниципальное дошкольное образовательное учреждение "Детский сад № 129";г.Пермь, ул. Толмачева, 2;246-56-32;Заведующий: Масалкина Татьяна Владимировна;;56.199790;58.010460
МДОУ "Детский сад № 14";г.Пермь, ул. Сибирская, 22;212-46-04;Заведующий: Кульбякина Ольга Анатольевна;http://www.ds14.perm.ru;56.250949;58.009163
МАДОУ "Центр развития ребенка - детский сад № 35";г.Пермь, ул. Геологов, 7;223-73-03;Заведующий: Гарбулева Екатерина Ивановна;http://www.detskiysad35.ucoz.ru;56.173236;57.964042
МАДОУ "Центр развития ребенка - детский сад № 100";г.Пермь, ул. Ивановская, 13а;265-46-00;Заведующий: Титова Маргарита Ивановна;;56.310408;58.031275
МБДОУ "Центр развития ребенка - детский сад № 108";г.Пермь, ул. Адмирала Нахимова, 14а;283-31-83;Заведующий: Ильина Яна Сергеевна;http://www.ds108-perm.ru;55.952843;58.003689
МАДОУ "Центр развития ребенка - детский сад № 112";г.Пермь, ул. Архитектора Свиязева, 20;(342) 228-26-41;Заведующий: Семенович Татьяна Анатольевна;;56.187717;57.964858
МАДОУ "Центр развития ребенка - детский сад № 134";г.Пермь, ул. Тургенева, 41;263-33-23;Заведующий: Скопина Елена Анатольевна;http://www.ds134.perm.ru;56.296503;58.011828
