Адрес;Построен;Степень износа;Дата ремонта, гг;Долгота;Широта
Сестрорецкая, 10;1956 г.;;2015-2017;56.441634;58.149707
Красные Казармы, 9;1912 г.;47;2015-2017;56.269302;57.993243
Красные Казармы, 7;1913 г.;50;2015-2017;56.268951;57.994140
Красные Казармы, 8;1913 г.;50;2015-2017;56.269715;57.994364
Красные Казармы, 10;1913 г.;46;2015-2017;56.270793;57.993544
Сибирская, 7а;1917 г.;69;2015-2017;56.243089;58.016586
Ленина, 11;1917 г.;34;2015-2017;56.255117;58.016238
Петропавловская, 11;1917 г.;18;2015-2017;56.252665;58.017749
Уральская, 80;1928 г.;48;2015-2017;56.290421;58.026119
Уральская, 84;1928 г.;45;2015-2017;56.289729;58.025628
Ленина, 90;1928 г.;40;2015-2017;56.208764;58.005749
Ленина, 7а;1928 г.;18;2015-2017;56.256285;58.016801
Коминтерна, 12;1928 г.;;2015-2017;56.251362;57.987571
Чкалова, 38;1929 г.;58;2015-2017;56.251506;57.986197
Комсомольский, 89;1929 г.;40;2015-2017;56.252189;57.986321
Комсомольский, 87;1929 г.;;2015-2017;56.252162;57.987490
Индустриализации, 16;1930 г.;56;2015-2017;56.301353;58.026343
Парусная, 19;1931 г.;63;2015-2017;56.024053;58.030675
Лебедева, 8;1932 г.;60;2015-2017;56.299584;58.027301
Уральская, 77;1932 г.;60;2015-2017;56.297248;58.028192
Лебедева, 10;1932 г.;58;2015-2017;56.298820;58.027105
Лебедева, 16;1932 г.;55;2015-2017;56.296592;58.026343
Уральская, 79;1932 г.;51;2015-2017;56.297024;58.027773
Уральская, 83;1932 г.;14;2015-2017;56.295425;58.027229
Советская, 21;1933 г.;66;2015-2017;56.248245;58.017454
Адмирала Макарова, 24;1933 г.;65;2015-2017;56.028975;58.033891
Уральская, 75;1933 г.;60;2015-2017;56.298272;58.028654
Комсомольский, 96;1933 г.;47;2015-2017;56.254120;57.986502
Индустриализации, 14;1934 г.;58;2015-2017;56.300976;58.026567
Коминтерна, 6;1934 г.;47;2015-2017;56.254641;57.987585
Екатерининская, 59;1934 г.;47;2015-2017;56.246763;58.010803
Чкалова, 32;1934 г.;47;2015-2017;56.254713;57.986440
Линия 11-я, 12;1934 г.;40;2015-2017;56.284321;58.053960
Герцена, 5;1934 г.;34;2015-2017;56.172832;58.001991
Герцена, 7;1934 г.;26;2015-2017;56.173901;58.001981
Папанинцев, 14;1934 г.;25;2015-2017;56.177107;58.000560
Бр. Черепановых, 11;1934 г.;21;2015-2017;56.234195;58.010259
Комсомольский, 94;1934 г.;;2015-2017;56.254075;57.987256
Архиерейка, 15;1934 г.;;2015-2017;56.333944;57.995313
Коминтерна, 14а;1935 г.;47;2015-2017;56.250500;57.987480
Уральская, 87;1936 г.;63;2015-2017;56.292272;58.025690
Клары Цеткин, 3;1936 г.;44;2015-2017;56.250787;57.987008
Линия 12-я, 20;1936 г.;40;2015-2017;56.283872;58.053684
Осинская, 2а;1936 г.;39;2015-2017;56.227557;58.015175
Энгельса, 8;1936 г.;33;2015-2017;56.181527;58.000288
Энгельса, 10;1936 г.;26;2015-2017;56.182390;57.999921
Энгельса, 13;1937 г.;34;2015-2017;56.184842;57.999430
Энгельса, 21;1937 г.;25;2015-2017;56.188076;57.998080
Энгельса, 17;1937 г.;21;2015-2017;56.186279;57.998824
Куйбышева, 68/3;1938 г.;40;2015-2017;56.246556;57.997655
Комсомольский, 90;1938 г.;31;2015-2017;56.253797;57.989241
Куйбышева, 70;1939 г.;65;2015-2017;56.244310;57.997379
Лебедева, 18;1939 г.;58;2015-2017;56.295505;58.025800
Инженерная, 12;1939 г.;57;2015-2017;56.300033;58.023436
Невская, 5;1939 г.;56;2015-2017;56.282237;58.042515
Карпинского, 126;1939 г.;50;2015-2017;56.198757;57.964457
Комсомольский, 85;1939 г.;48;2015-2017;56.252243;57.988511
Сусанина, 9;1939 г.;42;2015-2017;56.196430;57.968467
Куйбышева, 68/1;1939 г.;40;2015-2017;56.245119;57.997880
Куйбышева, 68/2;1939 г.;40;2015-2017;56.245865;57.997756
Комсомольский, 92;1939 г.;39;2015-2017;56.253671;57.988630
Сибирская, 32;1939 г.;;2015-2017;56.254911;58.006612
Комсомольский, 83;1939 г.;;2015-2017;56.252207;57.989203
Седова, 9;1939 г.;;2015-2017;56.246538;57.996821
Овчинникова, 13б;1940 г.;63;2015-2017;56.226982;57.993444
Тавричанская, 20;1940 г.;61;2015-2017;56.234195;58.010259
Инженерная, 14;1940 г.;60;2015-2017;56.299377;58.022973
Металлистов, 15;1940 г.;55;2015-2017;56.298668;58.023016
Куйбышева, 78;1940 г.;43;2015-2017;56.247005;57.995476
Клары Цеткин, 1;1940 г.;43;2015-2017;56.255683;57.987122
Р.Землячки, 12;1940 г.;43;2015-2017;56.234195;58.010259
Луначарского, 32;1940 г.;40;2015-2017;56.251749;58.010908
Клары Цеткин, 2;1940 г.;39;2015-2017;56.255692;57.986650
Куйбышева, 72;1940 г.;38;2015-2017;56.244760;57.996969
Героев Хасана, 28;1940 г.;36;2015-2017;56.256950;57.987824
Ленина, 15а;1940 г.;21;2015-2017;56.251901;58.015428
Инженерная, 10;1941 г.;61;2015-2017;56.300455;58.023788
Куйбышева, 71;1941 г.;60;2015-2017;56.243924;57.996969
Советская, 1;1941 г.;48;2015-2017;56.255773;58.019174
Куйбышева, 69;1941 г.;48;2015-2017;56.243421;57.997436
Куйбышева, 80/3;1941 г.;48;2015-2017;56.248272;57.995089
Героев Хасана, 30;1941 г.;43;2015-2017;56.256986;57.986975
Автозаводская, 32;1941 г.;39;2015-2017;55.945171;58.004318
Куйбышева, 73;1941 г.;35;2015-2017;56.244275;57.996597
Куйбышева, 67;1941 г.;27;2015-2017;56.242783;57.997942
Автозаводская, 34;1942 г.;64;2015-2017;55.945845;58.004709
Маршала Рыбалко, 33;1942 г.;58;2015-2017;55.948136;58.003751
Адмирала Нахимова, 25;1942 г.;53;2015-2017;55.946690;58.004647
Гальперина, 3;1942 г.;53;2015-2017;55.930520;57.993491
Автозаводская, 32а;1942 г.;51;2015-2017;55.945567;58.003960
Маршала Рыбалко, 31;1942 г.;50;2015-2017;55.947624;58.003340
Маршала Рыбалко, 31а;1942 г.;47;2015-2017;55.946806;58.003507
25 Октября, 45;1942 г.;45;2015-2017;56.255692;58.006841
Комсомольский, 81;1942 г.;42;2015-2017;56.252162;57.989732
Закамская, 2а;1942 г.;42;2015-2017;55.942486;57.995614
Закамская, 2б;1942 г.;42;2015-2017;55.943492;57.996048
Закамская, 2в;1942 г.;37;2015-2017;55.945225;57.996339
Луначарского, 33;1942 г.;35;2015-2017;56.252665;58.010340
Комсомольский, 77;1942 г.;;2015-2017;56.252000;57.991936
Уральская, 110;1943 г.;64;2015-2017;56.278473;58.020895
Автозаводская, 28а;1943 г.;56;2015-2017;55.945001;58.003383
Автозаводская, 28;1943 г.;53;2015-2017;55.943923;58.003569
Лебедева, 35;1943 г.;43;2015-2017;56.284510;58.018927
Автозаводская, 26;1943 г.;43;2015-2017;55.943222;58.003083
Соловьева, 15;1943 г.;40;2015-2017;56.247634;57.991521
Автозаводская, 22;1943 г.;38;2015-2017;55.942171;58.002053
Александра Невского, 37;1944 г.;40;2015-2017;55.952592;58.004652
Луначарского, 35;1944 г.;26;2015-2017;56.251829;58.010331
Пензенская, 55;1944 г.;1;2015-2017;55.938650;58.011494
Худанина, 18;1944 г.;1;2015-2017;55.941524;57.998690
Худанина, 16;1944 г.;1;2015-2017;55.941866;57.998390
Худанина, 14;1944 г.;1;2015-2017;55.942701;57.998209
Маршала Рыбалко, 27;1945 г.;54;2015-2017;55.946196;58.002492
Кировоградская, 5;1945 г.;50;2015-2017;55.941551;57.992780
Маршала Рыбалко, 27а;1945 г.;49;2015-2017;55.945666;58.002911
Луначарского, 32а;1945 г.;33;2015-2017;56.251111;58.011022
Автозаводская, 24;1945 г.;28;2015-2017;55.942234;58.002472
Коломенская, 12;1946 г.;61;2015-2017;56.273748;57.974353
Кировоградская, 9;1946 г.;60;2015-2017;55.942683;57.993453
Генерала Черняховского, 5;1946 г.;60;2015-2017;56.386406;58.090952
Краснополянская, 31;1946 г.;55;2015-2017;56.275024;57.973828
Ленина, 15а 1;1946 г.;25;2015-2017;56.251901;58.015428
Лебедева, 33;1946 г.;20;2015-2017;56.285202;58.019151
Валежная, 3;1947 г.;39;2015-2017;56.376650;58.128438
Валежная, 7;1948 г.;70;2015-2017;56.376390;58.127825
Куйбышева, 87;1948 г.;45;2015-2017;56.247508;57.992718
Куйбышева, 93;1948 г.;41;2015-2017;56.247994;57.991865
Р.Землячки, 8;1948 г.;30;2015-2017;56.234195;58.010259
Советская, 25/8;1948 г.;26;2015-2017;56.247050;58.017058
Энгельса, 24;1948 г.;25;2015-2017;56.187330;57.997923
25 Октября, 27а;1948 г.;21;2015-2017;56.253006;58.009954
Сибирская, 4а;1948 г.;18;2015-2017;56.243547;58.016986
Маршала Рыбалко, 19;1948 г.;;2015-2017;55.943105;58.000942
Боровая, 29;1948 г.;;2015-2017;56.186315;57.997541
Невская, 4;1949 г.;63;2015-2017;56.282561;58.043177
Адмирала Ушакова, 31;1949 г.;57;2015-2017;56.023145;58.034239
Краснополянская, 33;1949 г.;55;2015-2017;56.275168;57.974181
Александра Щербакова, 14;1949 г.;50;2015-2017;56.376920;58.127117
Попова, 57;1949 г.;49;2015-2017;56.229542;58.004671
Р.Землячки, 6;1949 г.;49;2015-2017;56.234195;58.010259
Адмирала Ушакова, 29;1949 г.;48;2015-2017;56.023909;58.034187
Валежная, 1;1949 г.;47;2015-2017;56.377010;58.128908
Федосеева, 22;1949 г.;47;2015-2017;55.940985;58.000727
Адмирала Ушакова, 27;1949 г.;47;2015-2017;56.024690;58.034196
Соловьева, 9;1949 г.;44;2015-2017;56.250185;57.991655
Кировоградская, 13;1949 г.;43;2015-2017;55.944677;57.994579
Федосеева, 18;1949 г.;41;2015-2017;55.941695;58.000360
Куйбышева, 89;1949 г.;40;2015-2017;56.247994;57.992447
Кировоградская, 63;1949 г.;40;2015-2017;55.962401;58.003507
Валежная, 5;1949 г.;39;2015-2017;56.376983;58.128020
Кировоградская, 67;1949 г.;39;2015-2017;55.963264;58.004056
Автозаводская, 18;1949 г.;36;2015-2017;55.940833;58.001447
Кировоградская, 69;1949 г.;32;2015-2017;55.963856;58.004127
Кировоградская, 61;1949 г.;32;2015-2017;55.961970;58.003202
Закамская, 54;1949 г.;27;2015-2017;55.960245;58.005329
Кочегаров, 25;1949 г.;26;2015-2017;56.105763;58.039161
Луначарского, 26а;1949 г.;25;2015-2017;56.252862;58.011938
Кочегаров, 27;1949 г.;21;2015-2017;56.105260;58.039332
Карпинского, 20;1950 г.;67;2015-2017;56.217145;57.988072
Карпинского, 9;1950 г.;66;2015-2017;56.218134;57.989484
Александра Щербакова, 12;1950 г.;62;2015-2017;56.376291;58.127231
Глеба Успенскова, 13;1950 г.;57;2015-2017;56.241616;57.998772
Кировоградская, 19;1950 г.;55;2015-2017;55.947327;57.996258
Генерала Наумова, 5;1950 г.;54;2015-2017;56.106123;58.039594
Кировоградская, 21;1950 г.;51;2015-2017;55.947929;57.996544
Доватора, 32;1950 г.;51;2015-2017;56.386136;58.088730
Чернышевского, 33;1950 г.;49;2015-2017;56.263507;57.995356
Б.Вагановых, 3;1950 г.;47;2015-2017;56.283279;58.020276
Уральская, 103;1950 г.;47;2015-2017;56.283378;58.021181
Автозаводская, 20;1950 г.;46;2015-2017;55.941219;58.001838
Александра Щербакова, 18;1950 г.;45;2015-2017;56.378654;58.126851
Автозаводская, 16;1950 г.;45;2015-2017;55.940437;58.001299
Куйбышева, 88;1950 г.;44;2015-2017;56.248883;57.992241
Адмирала Ушакова, 25;1950 г.;44;2015-2017;56.025678;58.034220
Александра Щербакова, 19;1950 г.;42;2015-2017;56.377692;58.126575
Александра Щербакова, 21;1950 г.;42;2015-2017;56.378429;58.126456
Соловьева, 11;1950 г.;42;2015-2017;56.249314;57.991693
Александра Щербакова, 16;1950 г.;42;2015-2017;56.378249;58.126960
Уральская, 105;1950 г.;41;2015-2017;56.282758;58.020948
Закамская, 48;1950 г.;40;2015-2017;55.958880;58.004542
Куйбышева, 96;1950 г.;38;2015-2017;56.249134;57.989198
Пушкина, 68а;1950 г.;36;2015-2017;56.246098;58.006678
Н. Островского, 15а 1;1950 г.;34;2015-2017;56.255333;58.015504
Энгельса, 26;1950 г.;33;2015-2017;56.187770;57.997617
Генерала Доватора, 30;1950 г.;30;2015-2017;56.385840;58.089320
Г. Наумова, 3;1950 г.;26;2015-2017;56.107048;58.039356
Энгельса, 22.5;1950 г.;21;2015-2017;56.186773;57.998156
Сивкова, 25;1950 г.;;2015-2017;56.211387;57.983706
Куйбышева, 149;1950 г.;;2015-2017;56.243745;57.964033
Вильямса, 9;1950 г.;;2015-2017;56.311154;58.105867
Куйбышева, 153;1950 г.;;2015-2017;56.243583;57.963226
Вильямса, 5;1950 г.;;2015-2017;56.309843;58.105292
Кировоградская, 49;1950 г.;;2015-2017;55.958143;58.001342
Кировоградская, 47;1950 г.;;2015-2017;55.957523;58.001137
Кировоградская, 45;1950 г.;;2015-2017;55.957020;58.000837
Соловьева, 12;1950 г.;;2015-2017;56.250150;57.990023
Социалистическая, 25;1951 г.;69;2015-2017;56.387430;58.133403
Ставропольская, 19;1951 г.;69;2015-2017;56.377558;58.107665
Социалистическая, 21;1951 г.;69;2015-2017;56.386145;58.133541
Карпинского, 22;1951 г.;67;2015-2017;56.216831;57.987733
Карпинского, 60;1951 г.;66;2015-2017;56.215573;57.981096
Социалистическая, 19;1951 г.;62;2015-2017;56.385768;58.133651
Сокольская, 132;1951 г.;61;2015-2017;56.010560;58.032781
Александра Щербакова, 13;1951 г.;60;2015-2017;56.376228;58.126851
Академика Веденеева, 47;1951 г.;60;2015-2017;56.378743;58.108592
Александра Щербакова, 17;1951 г.;60;2015-2017;56.377270;58.126461
Академика Веденеева, 49;1951 г.;60;2015-2017;56.379022;58.108373
Худанина, 5;1951 г.;59;2015-2017;55.941884;57.997956
Худанина, 3;1951 г.;57;2015-2017;55.942503;57.997660
Двинская, 6;1951 г.;56;2015-2017;56.316840;58.112415
Чистопольская, 8;1951 г.;55;2015-2017;55.939431;57.996620
Александра Щербакова, 15;1951 г.;55;2015-2017;56.376938;58.126751
Писарева, 59;1951 г.;53;2015-2017;56.302665;58.116360
Чистопольская, 10;1951 г.;53;2015-2017;55.938659;57.996878
Социалистическая, 23;1951 г.;53;2015-2017;56.386927;58.133475
Худаниана, 7;1951 г.;52;2015-2017;55.941219;57.998223
Циолковского, 17;1951 г.;52;2015-2017;56.300042;58.026357
Чистопольская, 6;1951 г.;51;2015-2017;55.940132;57.996287
Маршала Рыбалко, 12;1951 г.;50;2015-2017;55.942153;57.999062
Барнаульская, 7;1951 г.;50;2015-2017;56.306663;58.106852
Закамская, 3;1951 г.;49;2015-2017;55.940967;57.996601
Сибирская, 4;1951 г.;49;2015-2017;56.243628;58.017525
Сибирская, 3;1951 г.;48;2015-2017;56.242532;58.017201
Карпинского, 124;1951 г.;48;2015-2017;56.199485;57.965322
Байкальская, 26;1951 г.;47;2015-2017;56.023478;58.033215
Вильямса, 21;1951 г.;47;2015-2017;56.308998;58.107356
Вильямса, 27;1951 г.;45;2015-2017;56.306672;58.107303
Вильямса, 21а;1951 г.;44;2015-2017;56.308872;58.106852
Лебедева, 42;1951 г.;44;2015-2017;56.284178;58.019422
Юнг Прикамья, 25;1951 г.;43;2015-2017;56.025184;58.032848
Барнаульская, 3;1951 г.;42;2015-2017;56.306654;58.106314
Генерала Доватора, 38;1951 г.;42;2015-2017;56.385912;58.086651
Юнг Прикамья, 25а;1951 г.;41;2015-2017;56.024475;58.033258
Краснофлотская, 17;1951 г.;40;2015-2017;56.237744;57.998500
Воркутинская, 88;1951 г.;39;2015-2017;56.302162;58.116726
Соловьева, 14;1951 г.;38;2015-2017;56.249323;57.989999
Байкальская, 24;1951 г.;36;2015-2017;56.024169;58.032953
Юнг Прикамья, 29;1951 г.;36;2015-2017;56.025768;58.033896
Байкальская, 22;1951 г.;36;2015-2017;56.024448;58.032714
Энгельса, 11;1951 г.;34;2015-2017;56.183108;58.000226
Адмирала Ушакова, 22;1951 г.;32;2015-2017;56.029173;58.034668
Адмирала .Нахимова, 6;1951 г.;32;2015-2017;55.954918;58.001280
Адмирала .Нахимова, 8;1951 г.;32;2015-2017;55.954316;58.001619
Машинистов, 30а;1951 г.;26;2015-2017;56.105476;58.040514
Комсомольский, 14;1951 г.;18;2015-2017;56.236720;58.014026
Энгельса, 9;1951 г.;18;2015-2017;56.182497;58.000474
Барнаульская, 20;1951 г.;1;2015-2017;56.307255;58.106837
Кронита, 14;1951 г.;1;2015-2017;56.378285;58.107784
Вильямса, 13;1951 г.;;2015-2017;56.311334;58.106419
Куйбышева, 151;1951 г.;;2015-2017;56.243619;57.963574
Вильямса, 19;1951 г.;;2015-2017;56.309717;58.107337
Вильямса, 14а;1951 г.;;2015-2017;56.309843;58.106262
Бабушкина, 1а;1951 г.;;2015-2017;56.211926;57.990061
Писарева, 53;1951 г.;;2015-2017;56.302836;58.115139
Писарева, 55;1951 г.;;2015-2017;56.302827;58.115738
Вильямса, 17;1951 г.;;2015-2017;56.310624;58.107180
Вильямса, 75;1951 г.;;2015-2017;56.290933;58.097492
Вильямса, 23;1951 г.;;2015-2017;56.307965;58.107308
Вильямса, 18а;1951 г.;;2015-2017;56.309878;58.107009
Вильямса, 16а;1951 г.;;2015-2017;56.310346;58.106733
Вильямса, 25;1951 г.;;2015-2017;56.307372;58.107370
Кировоградская, 43;1951 г.;;2015-2017;55.956661;58.000632
Куйбышева, 86;1951 г.;;2015-2017;56.248892;57.992804
Академика Веденеева, 42;1952 г.;69;2015-2017;56.376839;58.109124
Академика Веденеева, 48;1952 г.;69;2015-2017;56.378195;58.108326
Бабушкина, 3;1952 г.;68;2015-2017;56.212699;57.989737
Космонавта Беляева, 40а;1952 г.;67;2015-2017;56.172553;57.970892
Космонавта Беляева, 38;1952 г.;65;2015-2017;56.173101;57.971050
Академика Веденеева, 46;1952 г.;60;2015-2017;56.377423;58.108487
Карбышева, 14;1952 г.;60;2015-2017;56.317164;58.111682
Двинская, 7;1952 г.;58;2015-2017;56.315843;58.112300
Бушмакина, 11;1952 г.;57;2015-2017;56.389397;58.087117
Богдана Хмельницкого, 65;1952 г.;56;2015-2017;55.943528;58.012429
Богдана Хмельницкого, 67;1952 г.;54;2015-2017;55.943986;58.012786
Ленина, 79;1952 г.;51;2015-2017;56.200580;58.004833
Калинина, 45;1952 г.;51;2015-2017;56.017863;58.030556
Ем.Ярославского, 52;1952 г.;50;2015-2017;56.227952;57.968210
Чусовская, 38;1952 г.;50;2015-2017;56.601490;58.050121
Космонавта Беляева, 36;1952 г.;49;2015-2017;56.173856;57.971250
Космонавта Беляева, 32;1952 г.;49;2015-2017;56.174871;57.971584
Маршала Рыбалко, 8;1952 г.;49;2015-2017;55.940051;57.997851
Камышинская, 20;1952 г.;48;2015-2017;56.033359;58.035149
Графтио, 10;1952 г.;46;2015-2017;56.314262;58.112272
Карбышева, 16;1952 г.;46;2015-2017;56.316831;58.111350
Графтио, 14;1952 г.;45;2015-2017;56.313391;58.112781
Камышинская, 22;1952 г.;45;2015-2017;56.033350;58.035735
Закамская, 3а;1952 г.;44;2015-2017;55.941282;57.997050
Карпинского, 3;1952 г.;44;2015-2017;56.218412;57.990848
Федосеева, 13;1952 г.;44;2015-2017;55.943465;57.999043
Лобвинская, 3;1952 г.;43;2015-2017;56.314765;58.111064
Федосеева, 15;1952 г.;42;2015-2017;55.942899;57.999291
Чусовская, 40;1952 г.;42;2015-2017;56.601139;58.050402
Закамская, 5;1952 г.;41;2015-2017;55.941929;57.997178
Адмирала Макарова, 31а;1952 г.;41;2015-2017;56.027295;58.035716
Космонавта Беляева, 34;1952 г.;40;2015-2017;56.174466;57.971413
Ф.Энгельса, 23;1952 г.;40;2015-2017;56.188992;57.997770
Комсомольский, 84;1952 г.;37;2015-2017;56.253590;57.991440
Карпинского, 1;1952 г.;37;2015-2017;56.218664;57.991354
Комсомольский, 75;1952 г.;36;2015-2017;56.252036;57.992571
Коминтерна, 13;1952 г.;35;2015-2017;56.251156;57.988210
Машинистов, 34;1952 г.;34;2015-2017;56.104703;58.041023
Новоржевская, 46;1952 г.;33;2015-2017;55.918033;58.007241
Машинистов, 30;1952 г.;33;2015-2017;56.106248;58.040666
Машинистов, 36;1952 г.;26;2015-2017;56.104281;58.041128
Н. Островского, 15б;1952 г.;26;2015-2017;56.255809;58.015613
Луначарского, 97а;1952 г.;25;2015-2017;56.228338;58.004862
Лепешинской, 4;1952 г.;25;2015-2017;56.102826;58.040309
Лепешинской, 12;1952 г.;21;2015-2017;56.103167;58.040800
Машинистов, 32;1952 г.;18;2015-2017;56.105305;58.040890
Снайперов, 6;1952 г.;1;2015-2017;56.204838;57.985610
Маршала Рыбалко, 4;1952 г.;1;2015-2017;55.939288;57.997407
Академика Веденеева, 44;1952 г.;;2015-2017;56.377243;58.108834
Комсомольский, 86;1952 г.;;2015-2017;56.253626;57.990376
Лебедева, 40;1952 г.;;2015-2017;56.284824;58.019656
Сусанина, 5;1952 г.;;2015-2017;56.199143;57.967389
Нефтяников, 45;1952 г.;;2015-2017;56.167855;57.970496
Нефтяников, 43;1952 г.;;2015-2017;56.168448;57.970592
Нефтяников, 41;1952 г.;;2015-2017;56.168798;57.970797
Веденеева, 50;1952 г.;;2015-2017;56.378573;58.108097
Нефтяников, 31а;1952 г.;;2015-2017;56.172041;57.971193
Двинская, 5;1952 г.;;2015-2017;56.316418;58.112115
Веденеева, 43;1952 г.;;2015-2017;56.377504;58.109305
Академика Веденеева, 20;1953 г.;69;2015-2017;56.368296;58.111402
Академика Веденеева, 24;1953 г.;69;2015-2017;56.368889;58.110922
Александра Невского, 8;1953 г.;68;2015-2017;55.945189;57.999201
Александра Невского, 18;1953 г.;66;2015-2017;55.946851;58.000236
Закамская, 21;1953 г.;66;2015-2017;55.948693;57.999434
Космонавта Беляева, 36а;1953 г.;65;2015-2017;56.173254;57.971374
Веденеева, 18;1953 г.;65;2015-2017;56.368152;58.111611
Кировоградская, 17;1953 г.;64;2015-2017;55.946411;57.995643
Академика Веденеева, 23;1953 г.;59;2015-2017;56.369500;58.111140
Пионерская, 7а;1953 г.;59;2015-2017;56.246880;57.997961
Академика Веденеева, 21;1953 г.;58;2015-2017;56.369203;58.111373
Двинская, 8;1953 г.;55;2015-2017;56.316274;58.112776
Глеба Успенского, 8;1953 г.;55;2015-2017;56.244409;57.998280
Качалова, 42;1953 г.;54;2015-2017;56.175167;57.972305
Графтио, 13;1953 г.;53;2015-2017;56.312493;58.112410
Качалова, 44;1953 г.;53;2015-2017;56.175598;57.972057
Воронежская, 5;1953 г.;52;2015-2017;55.839727;58.026119
Космонавта Беляева, 30;1953 г.;51;2015-2017;56.175769;57.971756
Воронежская, 7;1953 г.;51;2015-2017;55.839727;58.026119
Калинина, 47;1953 г.;51;2015-2017;56.018339;58.031075
Ленина, 100;1953 г.;50;2015-2017;56.201245;58.004461
Камышинская, 24;1953 г.;50;2015-2017;56.034123;58.035702
Ем.Ярославского, 56;1953 г.;49;2015-2017;56.226569;57.968205
Сусанина, 6;1953 г.;48;2015-2017;56.198416;57.967546
Генерала Доватора, 30а;1953 г.;47;2015-2017;56.386163;58.089501
Камышинская, 18;1953 г.;46;2015-2017;56.034141;58.035211
Двинская, 11;1953 г.;45;2015-2017;56.315179;58.112990
Двинская, 4;1953 г.;45;2015-2017;56.317200;58.112239
Комсомольский, 70;1953 г.;45;2015-2017;56.253527;57.996425
Комсомольский, 51;1953 г.;44;2015-2017;56.248515;58.000498
Графтио, 12;1953 г.;44;2015-2017;56.313624;58.112305
Куйбышева, 60;1953 г.;44;2015-2017;56.241472;57.999940
Графтио, 16;1953 г.;42;2015-2017;56.313265;58.113242
Комсомольский, 73;1953 г.;41;2015-2017;56.251955;57.993386
Карпинского, 5;1953 г.;41;2015-2017;56.218304;57.990376
Закамская, 56;1953 г.;40;2015-2017;55.960470;58.005544
Космонавта Беляева, 34а;1953 г.;40;2015-2017;56.173874;57.971594
Закамская, 32;1953 г.;40;2015-2017;55.954783;58.002029
Закамская, 38;1953 г.;38;2015-2017;55.955529;58.002482
Закамская, 36;1953 г.;37;2015-2017;55.955754;58.002224
Шишкина, 7;1953 г.;37;2015-2017;55.962248;58.005143
Шишкина, 5;1953 г.;37;2015-2017;55.963192;58.004785
Куйбышева, 155;1953 г.;36;2015-2017;56.243457;57.962385
Шишкина, 9;1953 г.;35;2015-2017;55.961835;58.005386
Закамская, 24;1953 г.;35;2015-2017;55.952493;58.000703
Астраханская, 3;1953 г.;35;2015-2017;55.957407;58.001862
Лепешинской, 14;1953 г.;33;2015-2017;56.103491;58.041138
Комсомольский, 76;1953 г.;33;2015-2017;56.253285;57.994183
Астраханская, 5;1953 г.;33;2015-2017;55.956481;58.002286
Коммунистическая, 10;1953 г.;33;2015-2017;56.603430;58.051321
Боровая, 22;1953 г.;30;2015-2017;56.183225;57.998280
Куйбышева, 98;1953 г.;29;2015-2017;56.249134;57.988663
Лепешинской, 20;1953 г.;26;2015-2017;56.104560;58.042457
Энгельса, 13.5;1953 г.;26;2015-2017;56.184447;57.999640
Кочегаров, 29;1953 г.;25;2015-2017;56.104065;58.039556
Г. Наумова, 13;1953 г.;18;2015-2017;56.107802;58.040256
Двинская, 13;1953 г.;1;2015-2017;56.315502;58.113218
Сусанина, 3;1953 г.;1;2015-2017;56.199529;57.967833
Нефтяников, 21а;1953 г.;1;2015-2017;56.174745;57.972076
Репина, 7;1953 г.;;2015-2017;56.315179;58.113518
Комсомольский, 82;1953 г.;;2015-2017;56.253985;57.992165
Танкистов, 18;1953 г.;;2015-2017;56.213615;57.987786
Нефтяников, 37;1953 г.;;2015-2017;56.169939;57.971136
Нефтяников, 31;1953 г.;;2015-2017;56.171942;57.971685
Карбышева, 10;1953 г.;;2015-2017;56.318107;58.112681
Репина, 11;1953 г.;;2015-2017;56.313598;58.113489
Репина, 4;1953 г.;;2015-2017;56.316939;58.114098
Чайковского, 17а;1953 г.;;2015-2017;56.203635;57.985271
Пензенская, 64;1953 г.;;2015-2017;55.943177;58.013053
Пензенская, 62;1953 г.;;2015-2017;55.942764;58.012715
Пензенская, 60;1953 г.;;2015-2017;55.942494;58.012419
Кировоградская, 15;1953 г.;;2015-2017;55.945540;57.995099
Александра Невского, 10;1954 г.;67;2015-2017;55.945504;57.999396
Федосеева, 12;1954 г.;66;2015-2017;55.945405;57.998657
Репина, 8;1954 г.;65;2015-2017;56.314963;58.113993
Загарьинская, 3;1954 г.;64;2015-2017;56.276874;57.974649
Закамская, 21а;1954 г.;64;2015-2017;55.947956;57.999487
Солдатова, 23;1954 г.;59;2015-2017;56.225275;57.967417
Закамская, 19;1954 г.;59;2015-2017;55.948172;57.999215
Бушмакина, 23;1954 г.;57;2015-2017;56.395605;58.084429
Веденеева, 17;1954 г.;55;2015-2017;56.368619;58.111858
Косякова, 15;1954 г.;55;2015-2017;56.375698;58.112167
Двинская, 12;1954 г.;53;2015-2017;56.316194;58.113204
Ким, 74;1954 г.;53;2015-2017;56.292406;58.020533
Железнод ст. Лёвшино, 8;1954 г.;52;2015-2017;56.376911;58.135390
Бушмакина, 25;1954 г.;52;2015-2017;56.396180;58.084158
Магистральная, 1б;1954 г.;51;2015-2017;55.928274;57.993587
Александра Щербакова, 26;1954 г.;51;2015-2017;56.382013;58.126299
Чусовская, 42;1954 г.;51;2015-2017;56.600528;58.050498
Калинина, 41;1954 г.;50;2015-2017;56.017171;58.029712
Магистральная, 1а;1954 г.;50;2015-2017;55.927780;57.993673
